127.0.0.1 - - [11/Apr/2022:11:38:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:38:06 +0530] "GET /lab2.2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:38:11 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:38:11 +0530] "GET /lab2.2/category HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:34 +0530] "GET /lab2.2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:34 +0530] "GET /lab2.2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:34 +0530] "GET /lab2.2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:41 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:41 +0530] "GET /lab2.2/category HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:39:44 +0530] "GET /lab2.2/logout HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:40:37 +0530] "GET /lab2.2/logout HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:04 +0530] "GET /lab2.2/logout HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:04 +0530] "GET /lab2.2/logout HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:06 +0530] "GET /lab2.2/logout HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:09 +0530] "GET /lab2.2/login.html HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:15 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:15 +0530] "GET /lab2.2/category HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:42:16 +0530] "GET /lab2.2/logout HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:01 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:01 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:01 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:01 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:01 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:15 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:15 +0530] "GET /lab2.2/category HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:18 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:48 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:48 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:48 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:48 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:49 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:49 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:49 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:49 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:49 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:43:50 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:17 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:17 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:17 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:17 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:18 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:18 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:18 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
